author,year,category,sub_category_I,sub_category_II,task,sub_task,title,journal,ml_type,neuralNetwork_type,neuralNetwork_name,hiddenLayers,training_process,inputs,outputs,data_domain,data_type,data_size,performance_metrice,performance_score,baseline,notes
Guo,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,AEnet: Automatic Picking of P-Wave First Arrivals Using Deep Learning,IEEE-TGRS,['ANN'],"['CNN', 'FC']",[],"[41, 41, 39, 19, 608, 128, 128, 2]","['Supervised_Learning', 'Unsupervised_Learning']","['waveform', 'skewness', 'kurtosis', 'Integ']","['event', 'noise']",['features'],['field'],[3227],"['Accuracy', 'Recall', 'Precision']",[],"['AIC', 'STA/LTA']"," only P - consists of two steps: classification and picking. The convolutional neural network (CNN) is used to classify each sample point of acoustic waveforms into either noise or signal. Different from prior DL-based phase picking studies using raw waveforms, we combine the waveform and high-order statistics as the input to enrich the input data features and accelerate the CNN model learning process. Our approach is examined using the laboratory AE monitoring data. pick the first arrival time of each trace using the curve fitting method and an unsupervised clustering algorithm."
Mousavi,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,Earthquake Transformer: An Attentive Deep-learning Model for Simultaneous Earthquake Detection and Phase Picking,Nature Communication,['ANN'],"['CNN', 'RNN']","['Transformer', 'LSTM']","[8, 16, 16, 32, 32, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 96, 96, 96, 96, 32, 32, 16, 16, 8, 8, 96, 96, 96, 96, 32, 32, 16, 16, 8, 8, 96, 96, 32, 32, 16, 16, 8, 8]",['Supervised_Learning'],['waveforms'],"['detection', 'P', 'S']",['time'],['field'],[1300000],"['Error', 'Precision', 'F1-Score', 'Recall', 'MAE', 'MAPE']",[0.99],"['STA/LTA', 'PhaseNet', 'GPD', 'Yews', 'PpkNet', 'PickNet', 'Kurtosis', 'FilterPicker', 'AIC']"," @@ a multi-task network, incorporate attention mechanism in a hirarchical structure. Perform both detection and picking seimultanously."
Soto,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,DeepPhasePick: A method for Detecting and Picking Seismic Phases from Local Earthquakes based on highly optimized Convolutional and Recurrent Deep Neural Networks,GJI,['ANN'],"['CNN', 'RNN', 'FC']",['LSTM'],"[12, 24, 48, 96, 192, 50, 3]",['Supervised_Learning'],['waveform'],"['P-wave arrival', 'S-wave arrival', 'noise']",['time'],['field'],[40000],[],[],[]," @@ an automatic two-stage method that detects and picks P and S seismic phases from local earthquakes. a first stage that detects the phases using a convolutional neural network, and a second stage that uses two recurrent neural networks to pick both phases. Detection is performed on three-component seismograms. P- and S-picking is then conducted on the vertical and the two-horizontal components, respectively. Systematic hyperparameter optimization was applied and uncertainties are computed based on the Monte Carlo Dropout technique as an approximation of Bayesian inference."
Zhu,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,An End-to-End Earthquake Monitoring Method for Joint Earthquake Detection and Association using Deep Learning,NeurIPS,['ANN'],['CNN'],['ResNet'],"[32, 32, 16, 8]",['Supervised_Learning'],['multi-station waveforms'],[],[],['field'],[42660],[],[],[], @ zhu2019end @ 
Saad,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,Earthquake Detection and P-Wave Arrival Time Picking Using Capsule Neural Network,IEEE-TGRS,['ANN'],['CNN'],['CapsNet'],"[64, 128, 134]",['Supervised_Learning'],[],[],['time-frequency'],['field'],[2500000],"['Precision', 'Recall', 'F1-score']",[0.98],"['GDP', 'STA/LTA']", @@- Developed a two-stage deep-learning approach for earthquake detection and first-arrival picking based on single-statin data. The main idea was to improve the generalization of the model built on a relatively small dataset by utilizing capsule neural networks in the architecture.
Wiszniowski,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,"Machine learning applied to anthropogenic seismic events detection in Lai Chau reservoir area, Vietnam",Computers & Geosciences,['ANN'],['RNN'],[],[],['Supervised_Learning'],"['STA/LTA', 'polarization']","['noise', 'event']",['feature'],['field'],[3000],[],[],['STA/LTA']," An automatic detection system was utilized to reduce the effort of manual interpretation of seismic signals in the region of the Lai Chau dam in North Vietnam while maintaining the detection of weak events at the same level. For this reason, a Single Layer Recurrent Neural Network (SLRNN) was applied. Compared to deep learning algorithms, fewer examples were needed to train the SLRNN. This paper presents a modified version of SLRNN, which additionally uses polarization analysis and the multi-stage learning process. In the first stage, the training data consists of events detected manually and disturbances selected visually by the operator. In the next stages, the earlier trained detection is validated in the successive recording periods. False detections together with new seismic events are added to the training set and the detection is retrained. The multi41 stage process significantly reduces false detections."
Xiao,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,Siamese Earthquake Transformer: A Pair-Input Deep-Learning Model for Earthquake Detection and Phase Picking on a Seismic Array,JGR,['ANN'],"['CNN', 'RNN']","['Transformer', 'LSTM', 'Siamese']","[8, 16, 16, 32, 32, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 96, 96, 96, 96, 32, 32, 16, 16, 8, 8, 96, 96, 96, 96, 32, 32, 16, 16, 8, 8, 96, 96, 32, 32, 16, 16, 8, 8]",['Supervised_Learning'],['waveforms'],"['detection', 'P', 'S']",['feature'],['field'],[1300000],[],[],[]," @@- Proposed a post-processing step for single-station deep-learning detectors/pickers based on the idea of template-matching in the feature domain. In this approach, after applying a pre-trained deep-learning model (i.e. EQTransformer) to continuous data, the extracted features at different layers of the model for a set of detected events are used a multi-scale representation of template P and S waves in the feature domain. A normalized version of these feature-domain templates are then used to search for initially missed picks on the surrounding stations and around the detection time by estimating their feature similarities using a Siamese neural network. Not only this approach is shown to be an effective strategy to improve the performance for low SNR waveforms, it attracts the attention of seismologists to the potentials of a more robust similarity measurements using the familiar cross-correlation calculation but in the feature space. "
Yu,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,Multi-station earthquake detection based on instance segmentation in deep learning,SRL-XX,['ANN'],"['CNN', 'FC']",['R-CNN'],"[256, 512, 1024, 2048, 2048, 1024, 512, 256]",['Supervised_Learning'],['multi-station waveform'],[],['time'],['field'],[45415],[],[],['STA/LTA'], 
Yu,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,LCANet: Lightweight Context-Aware Attention Networks for Earthquake Detection and Phase-Picking on IoT Edge Devices,IEEE SYSTEMS JOURNAL,['ANN'],['CNN'],"['TCN', 'Attention']","[16, 24, 40, 48, 32, 32]",['Supervised_Learning'],['multi-station waveform'],[],['time'],['field'],[1200000],"['precision', 'recall', 'F1-score', 'MAE']",[],"['STA/LTA', 'CRED', 'EQTransformer']", *$* optimized the deep learning model and reduced the computation requirements to deal with edge devices that have lower computation power than cloud servers
Dai,1995,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Phase Picking'], ,Automatic picking of seismic arrivals in local earthquake data using an artificial neural network,GJI,['ANN'],['FC'],[],['?'],['Supervised_Learning'],['features'],['P-wave and S-wave detecitons'],['time'],[],[877],"['Accuracy', 'Picking Error']",[0.92],['STA/LTA'], 779590:19664941 
Dai,1997,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Phase Picking'], ,Application of back-propagation neural networks to identification of seismic arrival types,Physics of the Earth and Planetary Interiors,['ANN'],['FC'],[],['?'],['Supervised_Learning'],"['degree of polarization', 'modulus']","['P-wave', 'S-wave', 'Noise']",['time'],[],[],"['detection accuracy of P', 'detection accuracy of S']","[0.82, 0.62]",[], dai1997application 
Dai,1997,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Phase Picking'], ,The application of back‐propagation neural network to automatic picking seismic arrivals from single‐component recordings,JGR,['ANN'],['FC'],[],[10],['Supervised_Learning'],['features of 1C waveforms'],"['0', '1']",['time'],['field'],[10],"['Success Rate', 'picking error']",[0.9],[], dai1997application 
Wang,1997,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Phase Picking'], ,Identification and picking of S phase using an artificial neural network,BSSA,['ANN'],['FC'],[],[4],['Supervised_Learning'],"['STA/LTA', 'the ratio between horizontal power and total power', 'autoregressive model coefficients', 'the short-axis incidence angle of polarization ellipsoid']",[],[],['field'],[60],['Precision'],[0.86],"['STA/LTA', 'AR']", 779590:19665111 * only S phase
Zhao,1999,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Phase Picking'], ,An artificial neural network approach for broadband seismic phase picking,BSSA,['ANN'],['FC'],[],['?'],['Supervised_Learning'],[],[],['time'],['field'],[96],['error of less than 1 s'],[0.85],[], used a combination of neural networks and a post-processing step for picking first P-wave arrivals.
Gentili,2006,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Phase Picking'], ,Automatic picking of P and S phases using a neural tree,Journal of Seismology,['ANN'],['FC'],[],[21],['Supervised_Learning'],"['var', 'skew', 'kurt', 'Integ']",[],[],[],[342],"['Recall', 'Precision', 'Accuracy']",[0.85],"['STA/LTA', 'Dai&MacBeth_1995', 'Wang&Tang_1995', 'Wang&Tang_1997']", * used a combination of neural networks and a post-processing step for picking first P-wave arrivals. Applied the model on a sequence of seismicity. the differences between manual and automatic picking has a standard deviation of 0.064 s and 0.11 s for the P and the S waves
Ross,2018,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Phase Picking'], ,Generalized Seismic Phase Detection with Deep Learning,BSSA,['ANN'],"['CNN', 'FC']",[],"[32, 64, 128, 512, 512]",['Supervised_Learning'],['waveforms'],[],['time'],['field'],[4500000],"['Recall', 'Precision']","[0.98, 0.98]",['STA/LTA'], @@ 
Saad,2018,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Phase Picking'], ,Automatic Arrival Time Detection for Earthquakes Based on Stacked Denoising Autoencoder,IEEE-GRSL,['ANN'],['FC'],['Autoencoder'],"[4, 4]",['Unsupervised_Learning'],[],[],[],[],[],"['Accuracy', 'Picking Error']",[],[], 779590:19665153 - only P - two autoencoder in sequence
Yu,2018,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Phase Picking'], ,Identification of Seismic Wave First Arrivals from Earthquake Records via Deep Learning,KSEM,['ANN'],"['CNN', 'FC', 'RNN']",['LSTM'],"[8, 16, 100, 100, 100, 100]",['Supervised_Learning'],"['mean absolute', 'mean square', 'STA/LTA']","['wave', 'non-wave']",['time'],['field'],[14431],"['hit', 'avgd']",[],"['classical STA/LTA', 'recursive STA/LTA', 'AR-AIC']", yu2018identification 
